id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,home_team,away_team
545909,27,BlockedShot,0.794000015258789,0.4209999847412109,0.1043467223644256,Juan Mata,h,554,DirectFreekick,2015,LeftFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,,Standard,Manchester United,Tottenham
545910,27,BlockedShot,0.86,0.6270000076293946,0.064342200756073,Memphis Depay,h,555,SetPiece,2015,RightFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,Ashley Young,Pass,Manchester United,Tottenham
545911,35,BlockedShot,0.8430000305175781,0.3329999923706054,0.057156816124916,Juan Mata,h,554,OpenPlay,2015,LeftFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,Wayne Rooney,Pass,Manchester United,Tottenham
545912,35,MissedShots,0.8480000305175781,0.5329999923706055,0.0921413898468017,Juan Mata,h,554,OpenPlay,2015,LeftFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,,Tackle,Manchester United,Tottenham
545913,40,BlockedShot,0.8119999694824219,0.7069999694824218,0.0357420146465301,Memphis Depay,h,555,OpenPlay,2015,RightFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,Michael Carrick,BallRecovery,Manchester United,Tottenham
545915,49,MissedShots,0.725,0.545,0.0212246645241975,Memphis Depay,h,555,OpenPlay,2015,LeftFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,Wayne Rooney,Pass,Manchester United,Tottenham
545916,64,SavedShot,0.8959999847412109,0.5970000076293945,0.1030042618513107,Ashley Young,h,631,OpenPlay,2015,RightFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,,None,Manchester United,Tottenham
545917,72,MissedShots,0.89,0.534000015258789,0.1065130606293678,Wayne Rooney,h,629,OpenPlay,2015,RightFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,Matteo Darmian,Cross,Manchester United,Tottenham
545918,76,MissedShots,0.7469999694824219,0.6940000152587891,0.0430676527321338,Wayne Rooney,h,629,DirectFreekick,2015,RightFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,,Standard,Manchester United,Tottenham
545903,4,MissedShots,0.901999969482422,0.61,0.2973036766052246,Christian Eriksen,a,646,OpenPlay,2015,LeftFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,Harry Kane,Chipped,Manchester United,Tottenham
